SRR6355713	Euphorbia esula	200	NC_033910
SRR7725010	Glycine soja	300	NC_022868
SRR8076131	Gossypium thurberi	200	NC_015204
SRR8690419	Glycyrrhiza glabra	202	NC_024038
DRR054584	Arabidopsis arenicola	202	NC_030346
SRR5412136	Capsella bursa-pastoris	620	NC_009270
SRR3721649	Botryococcus braunii	300	NC_025545
SRR1265942	Hibiscus syriacus	202	NC_026909
SRR5826129	Zea mays	520	NC_001666
SRR576534	Pelargonium citronellum	200	NC_031194
DRR056663	Oryza ridleyi	300	NC_034764
SRR576536	Pelargonium x hortorum	200	NC_008454
ERR1638191	Physcomitrella patens	300	NC_005087
SRR1560932	Diospyros lotus	200	NC_030786
SRR8440701	Panicum virgatum	502	NC_015990
SRR1174380	Glycine dolichocarpa	202	NC_021648
SRR7072768	Aldrovanda vesiculosa	302	NC_035416
SRR1951920	Sequoia sempervirens	600	NC_030372
SRR2084154	Arabidopsis suecica	200	NC_030350
SRR4292644	Chlorella sorokiniana	202	NC_023835
DRR063110	Dioscorea rotundata	498	NC_024170
SRR3170747	Stachys sylvatica	302	NC_029824
DRR001794	Jatropha curcas	152	NC_012224
SRR5602596	Althaea officinalis	591	NC_034701
ERR268415	Abies sibirica	200	NC_035067
SRR5602589	Magnolia officinalis subsp. biloba	596	NC_020317
SRR7528995	Alloteropsis angusta	500	NC_027951
SRR5349620	Solanum berthaultii	250	NC_034951
DRR056778	Oryza australiensis	300	NC_024608
SRR1405699	Ficus racemosa	152	NC_028185
SRR1034659	Thlaspi arvense	502	NC_034362
SRR6816710	Urochloa ruziziensis	302	NC_030068
SRR5602572	Coffea arabica	590	NC_008535
SRR5602611	Jasminum sambac	593	NC_034694
SRR3747540	Citrus reticulata	300	NC_034671
SRR1179645	Parinari campestris	202	NC_024067
SRR7072766	Drosera erythrorhiza	302	NC_035241
SRR6512791	Panax japonicus	294	NC_028703
SRR5602608	Illicium anisatum	300	NC_034703
SRR5812493	Cinnamomum verum	302	NC_035236
SRR7868503	Ipomoea batatas	502	NC_026703
SRR5602597	Aloysia citrodora	593	NC_034695
SRR6940062	Ajuga reptans	300	NC_023102
SRR8157563	Arabidopsis lyrata	202	NC_034365
SRR6117756	Cymbidium kanran	602	NC_029711
ERR1449077	Gossypium raimondii	302	NC_016668
SRR2518264	Phoenix dactylifera	186	NC_013991
SRR1771538	Oenothera villaricae	200	NC_030532
SRR5602598	Allium sativum	589	NC_031829
ERR268420	Gnetum gnemon	200	NC_026301
SRR3927459	Citrus sinensis	300	NC_008334
SRR7040334	Silene latifolia	250	NC_016730
SRR3340908	Arabidopsis thaliana	600	NC_000932
DRR056670	Oryza meyeriana	300	NC_034765
SRR1927951	Wollemia nobilis	511	NC_027235
ERR424849	Aegilops speltoides	202	NC_022135
SRR6856349	Brassica napus	302	NC_016734
SRR7012756	Chlorella variabilis	301	NC_015359
SRR1028837	Medicago truncatula	302	NC_003119
SRR7072324	Dionaea muscipula	302	NC_035417
SRR5602583	Theobroma cacao	589	NC_014676
SRR5602584	Scutellaria lateriflora	496	NC_034693
SRR6823488	Glycine tomentella	495	NC_021636
SRR6796784	Glycine max	302	NC_007942
ERR351509	Rhazya stricta	180	NC_024292
SRR3089810	Ginkgo biloba	250	NC_016986
SRR091633	Aegilops tauschii	202	NC_022133
SRR5812494	Punica granatum	302	NC_035240
SRR6220521	Oryza rufipogon	302	NC_017835
SRR5894861	Camellia sinensis	600	NC_020019
SRR5602592	Piper auritum	494	NC_034697
SRR3932124	Dendrobium crepidatum	300	NC_035331
SRR5602586	Eleutherococcus senticosus	498	NC_016430
SRR2057910	Brassica juncea	202	NC_028272
DRR098098	Solanum habrochaites	186	NC_026879
SRR7072322	Drosera regia	302	NC_035415
ERR2799539	Averrhoa carambola	302	NC_033350
SRR1612828	Fragaria chiloensis	240	NC_019601
ERR2799536	Viviania marifolia	302	NC_023259
SRR934060	Asclepias syriaca	202	NC_022432
SRR8136258	Gossypium armourianum	200	NC_033400
SRR3560157	Gossypium trilobum	200	NC_033397
SRR1176843	Glycine syndetika	202	NC_021650
DRR019500	Carica papaya	218	NC_010323
DRR053294	Oryza brachyantha	300	NC_030596
SRR5115287	Nelumbo lutea	250	NC_015605
SRR5602602	Laurus nobilis	496	NC_034700
SRR5893651	Triticum aestivum	530	NC_002762
SRR2012734	Gossypium arboreum	602	NC_016712
SRR5602601	Jasminum tortuosum	494	NC_034691
ERR3089143	Silene vulgaris	0	NC_016727
SRR5602587	Echinacea tennesseensis	479	NC_034326
SRR8245858	Phyllostachys edulis	300	NC_015817
SRR6056489	Avena sativa	500	NC_027468
SRR3932120	Dendrobium primulinum	300	NC_035321
SRR5602588	Magnolia biondii	595	NC_034687
SRR7666034	Pinus massoniana	300	NC_021439
SRR5812499	Litchi chinensis	302	NC_035238
SRR553489	Oryza sativa Indica Group	502	NC_027678
ERR413103	Vicia sativa	200	NC_027155
SRR1735356	Salvia miltiorrhiza	202	NC_020431
SRR6702454	Pisum sativum	202	NC_014057
SRR1705621	Arabidopsis lyrata subsp. lyrata	285	NC_034379
SRR3560184	Gossypium sturtianum	200	NC_023218
SRR8727328	Gossypium mustelinum	502	NC_016711
SRR1508428	Capsella grandiflora	200	NC_028517
SRR8690417	Foeniculum vulgare	202	NC_029469
ERR1727007	Picea abies	252	NC_021456
SRR6117757	Cymbidium lancifolium	602	NC_029712
SRR5812495	Psidium guajava	252	NC_033355
SRR5891950	Vitis amurensis	300	NC_031383
ERR3089126	Trifolium repens	0	NC_024036
SRR547959	Oryza sativa Japonica Group	502	NC_001320
SRR6175451	Ammopiptanthus nanus	300	NC_034743
SRR5920285	Echinochloa crus-galli	250	NC_028719
SRR490932	Hordeum vulgare subsp. vulgare	250	NC_008590
SRR5602581	Echinacea laevigata	495	NC_034322
DRR014074	Solanum melongena	202	NC_030207
SRR384895	Triticum monococcum	202	NC_021760
SRR934044	Asclepias nivea	190	NC_022431
ERR1735613	Picea crassifolia	252	NC_032366
SRR5678803	Ficus carica	561	NC_035237
SRR8545538	Gossypium darwinii	302	NC_016670
SRR8185394	Taraxacum kok-saghyz	521	NC_032057
SRR6940033	Paulownia tomentosa	300	NC_031436
ERR413115	Lens culinaris	202	NC_027152
SRR5891909	Vitis aestivalis	300	NC_029454
SRR4240953	Liriodendron tulipifera	302	NC_008326
SRR2040807	Arabidopsis petrogena	202	NC_030349
SRR5907715	Helianthus grosseserratus	200	NC_023108
SRR4159530	Brachypodium distachyon	302	NC_011032
SRR7771854	Saccharum officinarum	502	NC_035224
SRR1265941	Wisteria floribunda	202	NC_027677
SRR5602606	Hydrastis canadensis	495	NC_034702
SRR6650558	Panicum miliaceum	502	NC_029732
SRR3560160	Gossypium somalense	200	NC_018110
SRR6442327	Schizachyrium scoparium	300	NC_035032
SRR4453367	Pistacia vera	300	NC_034998
SRR1179649	Hirtella racemosa	202	NC_024060
SRR424217	Sorghum timorense	200	NC_023800
ERR1735493	Picea asperata	252	NC_032367
ERR2696318	Oryza sativa	599	NC_031333
SRR3932147	Dendrobium chrysanthum	300	NC_035336
ERR3089145	Veronica persica	0	NC_031344
SRR485871	Panicum capillare	200	NC_030493
ERR2799542	Cunninghamia lanceolata	302	NC_021437
DRR032042	Trifolium subterraneum	602	NC_011828
SRR4063804	Corymbia torelliana	300	NC_028410
SRR1145775	Juniperus cedrus	200	NC_028190
ERR2799530	Geranium maderense	302	NC_029999
SRR3932141	Dendrobium chrysotoxum	300	NC_028549
SRR073338	Cajanus cajan	202	NC_031429
SRR2054762	Brassica nigra	202	NC_030450
SRR5446059	Heteropogon triticeus	300	NC_035025
ERR2799544	Sciadopitys verticillata	302	NC_029734
SRR2026990	Pinus lambertiana	301	NC_011156
SRR3938254	Astragalus mongholicus	201	NC_029828
SRR1771524	Oenothera biennis	198	NC_010361
SRR4235199	Chlamydomonas reinhardtii	302	NC_005353
SRR3932144	Dendrobium denneanum	300	NC_035324
SRR2057822	Juglans regia	302	NC_028617
SRR5602604	Eriobotrya japonica	495	NC_034639
DRR058031	Oryza longistaminata	300	NC_027462
SRR6940036	Premna microphylla	300	NC_026291
SRR5217671	Catharanthus roseus	300	NC_021423
SRR825830	Helianthus annuus	228	NC_007977
SRR5433722	Fagopyrum tataricum	458	NC_027161
SRR866156	Fragaria vesca subsp. bracteata	190	NC_018766
SRR7880736	Arabis alpina	248	NC_023367
SRR7601255	Daucus carota	302	NC_008325
SRR576532	Melianthus villosus	200	NC_023256
SRR8736654	Lactuca sativa	300	NC_007578
SRR1030614	Petroselinum crispum	100	NC_015821
SRR7528994	Alloteropsis semialata	500	NC_027824
DRR056658	Oryza longiglumis	300	NC_034763
DRR022700	Solanum lycopersicum	502	AC_000188
DRR057991	Oryza glumipatula	300	NC_027461
SRR7548934	Spirodela polyrhiza	301	NC_015891
ERR1397263	Macadamia integrifolia	302	NC_025288
SRR5812498	Abelmoschus esculentus	302	NC_035234
SRR1179655	Chrysobalanus icaco	202	NC_024061
SRR4128972	Arabidopsis arenosa	300	NC_029334
SRR5310953	Chromochloris zofingiensis	200	NC_029672
ERR2696316	Setaria italica	300	NC_022850
DRR083750	Actinidia chinensis	290	NC_026690
SRR4319202	Arundo plinii	599	NC_034652
SRR3204556	Mentha longifolia	202	NC_032054
SRR8523014	Citrullus lanatus	600	NC_032008
SRR8731963	Castanea mollissima	300	NC_014674
SRR954964	Nicotiana tabacum	202	NC_001879
SRR2120220	Podococcus barteri	273	NC_027276
DRR056675	Asparagus officinalis	202	NC_034777
SRR5602590	Dioscorea villosa	593	NC_034686
SRR5902661	Echinochloa oryzicola	250	NC_024643
SRR6037860	Apostasia odorata	300	NC_030722
SRR3138168	Prunus kansuensis	200	NC_023956
SRR5807695	Phaseolus vulgaris	304	NC_009259
ERR268425	Taxus baccata	200	NC_035066
SRR3927005	Salix purpurea	300	NC_026722
SRR3560152	Gossypium hirsutum	491	NC_007944
SRR5602605	Fragaria virginiana	590	NC_019602
SRR2847384	Manihot esculenta	450	NC_010433
SRR3560187	Gossypium bickii	200	NC_023214
SRR4028761	Miscanthus sinensis	302	NC_028721
SRR1179646	Hirtella physophora	200	NC_024066
SRR1392700	Eucalyptus grandis	300	NC_014570
SRR3923695	Dunaliella salina	300	NC_016732
SRR5602585	Pimenta dioica	586	NC_034684
SRR8040824	Arabidopsis halleri	302	NC_034366
SRR3170746	Stachys coccinea	302	NC_029823
ERR2799532	Monsonia emarginata	302	NC_029694
SRR2103103	Quercus spinosa	202	NC_026907
SRR8240066	Prunus mume	300	NC_023798
SRR1686960	Allium cepa	300	NC_024813
SRR5602595	Artemisia annua	496	NC_034683
SRR3170744	Stachys byzantina	302	NC_029825
SRR869482	Picea glauca	1000	NC_028594
SRR5307620	Erythranthe lutea	200	NC_030212
SRR617704	Gossypium longicalyx	202	NC_023216
SRR7285294	Cannabis sativa	262	NC_026562
SRR5602580	Echinacea pallida	408	NC_034321
SRR3932122	Dendrobium nobile	300	NC_029456
SRR3484539	Ludisia discolor	602	NC_030540
SRR2040831	Arabidopsis neglecta	200	NC_030348
SRR8255647	Salix suchowensis	300	NC_026462
SRR5602577	Echinacea sanguinea	452	NC_034328
SRR7630500	Mankyua chejuensis	602	NC_017006
SRR5183095	Cicer arietinum	180	NC_011163
ERR1735633	Populus tremula	252	NC_027425
SRR8115522	Lotus japonicus	302	NC_002694
SRR6117755	Cymbidium ensifolium	602	NC_028525
SRR5602603	Magnolia denudata	596	NC_018357
SRR5602579	Echinacea angustifolia	526	NC_034324
SRR7341625	Oryza barthii	500	NC_027460
SRR3932123	Dendrobium aphyllum	300	NC_035322
SRR8690418	Humulus lupulus	202	NC_028032
SRR5602574	Echinacea purpurea	487	NC_034327
SRR6940083	Perilla frutescens	300	NC_030756
SRR6490504	Cucumis sativus	301	NC_007144
SRR5457035	Cynodon dactylon	538	NC_034680
DRR015691	Hevea brasiliensis	150	NC_015308
ERR385916	Oryza minuta	240	NC_030298
SRR2040775	Arabidopsis cebennensis	202	NC_029335
SRR3170745	Stachys chamissonis	302	NC_029822
SRR8173251	Nicotiana undulata	202	NC_016068
SRR5602594	Boswellia sacra	595	NC_029420
ERR321701	Coffea canephora	216	NC_030053
SRR3932135	Dendrobium wardianum	300	NC_035329
SRR3678826	Populus alba	202	NC_008235
SRR7529014	Themeda triandra	500	NC_035016
SRR7529015	Alloteropsis cimicina	500	NC_027952
SRR4063259	Setaria viridis	314	NC_028075
ERR2799546	Taxodium distichum	302	NC_034941
SRR1291239	Solanum peruvianum	191	NC_026881
SRR7125688	Vigna unguiculata	300	NC_018051
SRR2729212	Centaurea diffusa	200	NC_024286
SRR2882977	Lemna minor	292	NC_010109
SRR6940065	Tectona grandis	300	NC_020098
SRR5196234	Pyrus pyrifolia	291	NC_015996
SRR5028182	Picea sitchensis	500	NC_011152
SRR2082664	Camelina sativa	202	NC_029337
ERR1795324	Picea jezoensis	252	NC_029374
SRR5204424	Cenchrus americanus	243	NC_024171
SRR1179652	Licania alba	202	NC_024064
SRR1508958	Hyoscyamus niger	200	NC_024261
SRR6940088	Scutellaria baicalensis	300	NC_027262
SRR1982881	Capsicum annuum	182	NC_018552
SRR6048019	Bupleurum latissimum	602	NC_033346
SRR6512796	Panax stipuleanatus	288	NC_030598
