Axonopus fissifolius	NC_030501
Azadirachta indica	NC_023792
Aztecaster matudae	NC_034898
Baccharis genistelloides	NC_034852
Baccharis tricuneata	NC_034868
Bambusa arnhemica	NC_026958
Bambusa bambos	NC_026957
Bambusa emeiensis	NC_015830
Bambusa multiplex	NC_024668
Bambusa oldhamii	NC_012927
Bangia atropurpurea	NC_030221
Bangiopsis subsimplex	NC_031173
Barbarea verna	NC_009269
Bathycoccus prasinos	NC_024811
Baxteria australis	NC_029970
Berberis amurensis	NC_030062
Berberis bealei	NC_022457
Berberis koreana	NC_030063
Bertolonia acuminata	NC_031876
Beschorneria septentrionalis	NC_032699
Betula nana	NC_033978
Bigelowiella natans	NC_008408
Bismarckia nobilis	NC_020366
Blakea schlimii	NC_031877
Blakiella bartsiifolia	NC_034866
Bletilla ochracea	NC_029483
Bletilla striata	NC_028422
Boldia erythrosiphon	NC_034776
Bomarea edulis	NC_025306
Borassodendron machadonis	NC_029969
Bostrychia moritziana	NC_035266
Bostrychia simpliciuscula	NC_035268
Boswellia sacra	NC_029420
Bothriochloa alta	NC_030621
Botryococcus braunii	NC_025545
Boulardia latisquama	NC_025641
Bouteloua curtipendula	NC_029414
Bouteloua gracilis	NC_029892
Bowenia serrulata	NC_026036
Brachiaria fragrans	NC_033879
Brachyelytrum aristosum	NC_027470
Brachypodium distachyon	NC_011032
Bracteacoccus aerius	NC_029675
Bracteacoccus giganteus	NC_028586
Bracteacoccus minor	NC_029674
Brahea brandegeei	NC_029968
Brasenia schreberi	NC_031343
Brassaiopsis hainla	NC_022811
Brassica juncea	NC_028272
Brassica napus	NC_016734
Brassica nigra	NC_030450
Brighamia insignis	NC_028633
Briza maxima	NC_027471
Bromus vulgaris	NC_027472
Bruinsmia polysperma	NC_030180
Bryopsis hypnoides	NC_013359
Bryopsis plumosa	NC_026795
Bryothamnion seaforthii	NC_035276
Buergersiochloa bambusoides	NC_026968
Bulboplastis apyrenoidosa	NC_034787
Bupleurum falcatum	NC_027834
Bupleurum latissimum	NC_033346
Buxus microphylla	NC_009599
Cabomba caroliniana	NC_031505
Cajanus cajan	NC_031429
Cakile arabica	NC_030775
Calamus caryotoides	NC_020365
Calanthe triplicata	NC_024544
Calliarthron tuberculosum	NC_021075
Callitris rhomboidea	NC_034940
Callitropsis nootkatensis	NC_026295
Callitropsis vietnamensis	NC_026298
Calocedrus formosana	NC_023121
Caloglossa intermedia	NC_035265
Caloglossa monosticha	NC_035263
Calycanthus floridus var. glaucus	NC_004993
Camassia scilloides	NC_032700
Camelina sativa	NC_029337
Camellia crapnelliana	NC_024541
Camellia cuspidata	NC_022459
Camellia danzaiensis	NC_022460
Camellia grandibracteata	NC_024659
Camellia impressinervis	NC_022461
Camellia leptophylla	NC_024660
Camellia oleifera	NC_023084
Camellia petelotii	NC_024661
Camellia pitardii	NC_022462
Camellia pubicosta	NC_024662
Camellia reticulata	NC_024663
Camellia sinensis	NC_020019
Camellia taliensis	NC_022264
Camellia yunnanensis	NC_022463
Campanula punctata	NC_033337
Campanula takesimana	NC_026203
Campynema lineare	NC_026785
Cannabis sativa	NC_027223
Cannabis sativa	NC_026562
Capillipedium venustum	NC_030622
Capsella bursa-pastoris	NC_009270
Capsella grandiflora	NC_028517
Capsella rubella	NC_027693
Capsicum annuum	NC_018552
Capsicum chacoense	NC_033525
Capsicum chinense	NC_030543
Capsicum eximium	NC_033527
Capsicum frutescens	NC_028007
Capsicum galapagoense	NC_033524
Capsicum lycianthoides	NC_026551
Capsicum tovarii	NC_033526
Caragana korshinskii	NC_035229
Caragana kozlowii	NC_035228
Caragana microphylla	NC_032691
Cardamine impatiens	NC_026445
Cardamine limprichtiana	NC_034287
Cardamine resedifolia	NC_026446
Cardiocrinum cathayanum	NC_033897
Cardiocrinum cordatum	NC_033898
Cardiocrinum giganteum	NC_033896
Carex siderosticta	NC_027250
Carica papaya	NC_010323
Carissa macrocarpa	NC_033354
Carludovica palmata	NC_026786
Carnegiea gigantea	NC_027618
Carpinus putoensis	NC_033503
Carteria cerasiformis	NC_028585
Carthamus tinctorius	NC_030783
Carum carvi	NC_029889
